Title,Author,Rating
"Children of the Mind (Ender's Saga, #4)",Orson Scott Card,"3.78 avg rating — 111,883 ratings"
"The Cheat Sheet (The Cheat Sheet, #1)",Sarah       Adams,"3.71 avg rating — 310,000 ratings"
Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,"3.97 avg rating — 71,907 ratings"
"Fear (Gone, #5)",Michael  Grant,"4.22 avg rating — 53,142 ratings"
"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,"4.20 avg rating — 385,665 ratings"
"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",Anne Fadiman,"4.20 avg rating — 86,815 ratings"
The Underground Railroad,Colson Whitehead,"4.06 avg rating — 427,325 ratings"
A Very Bad Thing,J.T. Ellison,"4.15 avg rating — 36,225 ratings"
"Love Unscripted (Love, #1)",Tina Reber,"4.02 avg rating — 68,237 ratings"
"Without Remorse (John Clark, #1; Jack Ryan Universe Publication Order, #6)",Tom Clancy,"4.22 avg rating — 74,854 ratings"
In Defense of Food: An Eater's Manifesto,Michael Pollan,"4.07 avg rating — 118,161 ratings"
Tara Road,Maeve Binchy,"3.94 avg rating — 81,428 ratings"
"The Exiled Queen (Seven Realms, #2)",Cinda Williams Chima,"4.32 avg rating — 54,043 ratings"
Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,"4.39 avg rating — 17,924 ratings"
"Star Wars: Heir to the Empire (The Thrawn Trilogy, #1)",Timothy Zahn,"4.17 avg rating — 98,583 ratings"
Einstein’s Dreams,Alan Lightman,"4.06 avg rating — 41,775 ratings"
"The Indian in the Cupboard (The Indian in the Cupboard, #1)",Lynne Reid Banks,"3.93 avg rating — 107,918 ratings"
The Clown,Heinrich Böll,"3.93 avg rating — 30,829 ratings"
Skinny Legs and All,Tom Robbins,"4.07 avg rating — 43,404 ratings"
"The Queen of Attolia (The Queen's Thief, #2)",Megan Whalen Turner,"4.17 avg rating — 48,664 ratings"
"The Mad Ship (Liveship Traders, #2)",Robin Hobb,"4.32 avg rating — 76,395 ratings"
"These Broken Stars (Starbound, #1)",Amie Kaufman,"3.89 avg rating — 71,001 ratings"
Lincoln,Gore Vidal,"4.24 avg rating — 9,676 ratings"
Snow Country,Yasunari Kawabata,"3.57 avg rating — 38,191 ratings"
"The Penderwicks: A Summer Tale of Four Sisters, Two Rabbits, and a Very Interesting Boy (The Penderwicks, #1)",Jeanne Birdsall,"4.19 avg rating — 62,464 ratings"
Tender Is the Flesh,Agustina Bazterrica,"3.78 avg rating — 313,821 ratings"
Walden & Civil Disobedience,Henry David Thoreau,"3.94 avg rating — 38,516 ratings"
Pinocchio,Carlo Collodi,"3.84 avg rating — 86,284 ratings"
What Alice Forgot,Liane Moriarty,"4.07 avg rating — 497,907 ratings"
"Slated (Slated, #1)",Teri Terry,"4.07 avg rating — 32,685 ratings"
"Drum Beats, Heart Beats (Dancing Soul Trilogy, #3)",Maria Nhambu,"4.29 avg rating — 2,705 ratings"
A Bright Shining Lie: John Paul Vann and America in Vietnam,Neil Sheehan,"4.24 avg rating — 12,332 ratings"
"The First Step (A Thousand Li, #1)",Tao Wong,"4.10 avg rating — 6,326 ratings"
"Stars Above (The Lunar Chronicles, #4.5)",Marissa Meyer,"4.15 avg rating — 102,880 ratings"
"The Secret of the Old Clock (Nancy Drew Mystery Stories, #1)",Carolyn Keene,"3.98 avg rating — 81,767 ratings"
"Bangtails, Grifters, and a Liar's Kiss (O'Shaughnessy Investigations Inc. 2)",A.G. Russo,4.40 avg rating — 773 ratings
"The Dark Winter (Whiteout, #2)",Flint Maxwell,"4.02 avg rating — 2,257 ratings"
Vampire Origins - Project Ichorous (The Strigoi #1),Riley Banks,3.95 avg rating — 164 ratings
"Not Nice: Stop People Pleasing, Staying Silent, & Feeling Guilty... And Start Speaking Up, Saying No, Asking Boldly, And Unapologetically Being Yourself",Aziz Gazipura,"3.97 avg rating — 3,567 ratings"
"Moving Pictures (Discworld, #10; Industrial Revolution, #1)",Terry Pratchett,"3.97 avg rating — 86,000 ratings"
"Spellbound in His Arms (The Greek Isles Series, #1)",Angel Sefer,3.88 avg rating — 371 ratings
"Forsaken (The Secret Life of Amy Bensen, #3)",Lisa Renee Jones,"4.05 avg rating — 2,932 ratings"
"A Curse So Dark and Lonely (Cursebreakers, #1)",Brigid Kemmerer,"3.96 avg rating — 173,441 ratings"
Strengths Finder 2.0,Tom Rath,"3.93 avg rating — 56,212 ratings"
Finding Audrey,Sophie Kinsella,"3.75 avg rating — 83,537 ratings"
Loving Frank,Nancy Horan,"3.77 avg rating — 100,497 ratings"
"Glory in Death (In Death, #2)",J.D. Robb,"4.27 avg rating — 70,004 ratings"
"Green Rider (Green Rider, #1)",Kristen Britain,"4.09 avg rating — 39,863 ratings"
"King Rat (Asian Saga, #4)",James Clavell,"4.19 avg rating — 42,948 ratings"
The Summer of Broken Rules,K.L. Walther,"3.90 avg rating — 264,392 ratings"
The Blood Legacy: A Xianxia Cultivation Fantasy (The Divine Elements Book 1),Daman,"4.20 avg rating — 1,578 ratings"
Don't Look Back,Jennifer L. Armentrout,"4.09 avg rating — 34,733 ratings"
"The Dragonet Prophecy (Wings of Fire, #1)",Tui T. Sutherland,"4.23 avg rating — 76,031 ratings"
"Brownout - 666: A journey through sex, love and violence in the ultimate search",John Richard Spencer,4.38 avg rating — 501 ratings
Voices from Chernobyl: The Oral History of a Nuclear Disaster,Svetlana Alexievich,"4.40 avg rating — 62,024 ratings"
Two Can Keep a Secret,Karen M. McManus,"3.92 avg rating — 163,646 ratings"
Love Auction: Too Risky to Love Again,Sharon Carter,"4.31 avg rating — 2,593 ratings"
In Our Bones,Pernell Plath Meier,"4.23 avg rating — 1,850 ratings"
Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"4.36 avg rating — 191,659 ratings"
The Trial and Death of Socrates,Plato,"4.12 avg rating — 44,348 ratings"
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,"4.03 avg rating — 137,694 ratings"
Esperanza Rising,Pam Muñoz Ryan,"4.04 avg rating — 109,999 ratings"
Stones (One True Child #5),L.C. Conn,4.45 avg rating — 137 ratings
"The Unhoneymooners (Unhoneymooners, #1)",Christina Lauren,"3.90 avg rating — 1,023,734 ratings"
Wir Kinder vom Bahnhof Zoo,Christiane V. Felscherinow,"4.36 avg rating — 72,252 ratings"
Fever 1793,Laurie Halse Anderson,"3.93 avg rating — 130,347 ratings"
"Lioness Rampant (Song of the Lioness, #4)",Tamora Pierce,"4.28 avg rating — 92,183 ratings"
"The Fairy Next Book (A Fairy Awesome Story, #2)",Ellie Aiden,4.39 avg rating — 381 ratings
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,"4.12 avg rating — 128,475 ratings"
The Duke of D.C.: The American Dream,James Allen Moseley,4.32 avg rating — 386 ratings
Fantastic Mr. Fox,Roald Dahl,"4.08 avg rating — 142,280 ratings"
"The Fairiest Fairy of Them All (A Fairy Awesome Story, #3)",Ellie Aiden,4.52 avg rating — 332 ratings
The Travelling Cat Chronicles,Hiro Arikawa,"4.33 avg rating — 91,847 ratings"
"Bloody Bones (Anita Blake, Vampire Hunter, #5)",Laurell K. Hamilton,"4.12 avg rating — 76,525 ratings"
The Beautiful and Damned,F. Scott Fitzgerald,"3.73 avg rating — 62,812 ratings"
The Raw Shark Texts,Steven  Hall,"3.83 avg rating — 21,162 ratings"
Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,"4.05 avg rating — 19,863 ratings"
The Watsons Go to Birmingham - 1963,Christopher Paul Curtis,"really liked it 4.00 avg rating — 69,788 ratings"
"The Rose & the Dagger (The Wrath and the Dawn, #2)",Renée Ahdieh,"4.03 avg rating — 97,856 ratings"
I Fell in Love With Hope,Lancali,"3.84 avg rating — 30,119 ratings"
Life... Love... Kumbh...,Aporva Kala,"3.58 avg rating — 2,035 ratings"
"Midnight Sun (The Twilight Saga, #5)",Stephenie Meyer,"3.74 avg rating — 291,744 ratings"
"Pleasure Unbound (Demonica, #1)",Larissa Ione,"4.05 avg rating — 54,745 ratings"
"The Absolute Sandman, Volume 1",Neil Gaiman,"4.64 avg rating — 22,463 ratings"
The First 90 Days: Critical Success Strategies for New Leaders at All Levels,Michael D. Watkins,"3.85 avg rating — 35,159 ratings"
Circle of Friends,Maeve Binchy,"4.07 avg rating — 67,232 ratings"
"A Reaper at the Gates (An Ember in the Ashes, #3)",Sabaa Tahir,"4.14 avg rating — 109,635 ratings"
Sown in Tears: A Historical Novel of Love and Struggle,Beverly Magid,4.32 avg rating — 617 ratings
"Stop Overthinking: 23 Techniques to Relieve Stress, Stop Negative Spirals, Declutter Your Mind, and Focus on the Present (The Path to Calm Book 1)",Nick Trenton,"3.75 avg rating — 7,267 ratings"
The Robe,Lloyd C. Douglas,"4.23 avg rating — 26,730 ratings"
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,"3.85 avg rating — 28,343 ratings"
"Patriot Games (Jack Ryan, #1)",Tom Clancy,"4.16 avg rating — 211,153 ratings"
Non Violent Communication A Language of Life,Marshall B. Rosenberg,"4.33 avg rating — 45,886 ratings"
"Knife of Dreams (The Wheel of Time, #11)",Robert Jordan,"4.20 avg rating — 141,991 ratings"
"Thief (Love Me with Lies, #3)",Tarryn Fisher,"4.35 avg rating — 36,950 ratings"
"Isla and the Happily Ever After (Anna and the French Kiss, #3)",Stephanie Perkins,"3.99 avg rating — 118,528 ratings"
The Spitfire Girls,Soraya M. Lane,"4.35 avg rating — 9,495 ratings"
"The Winner's Crime (The Winner's Trilogy, #2)",Marie Rutkoski,"4.08 avg rating — 68,251 ratings"
The Sailor Who Fell from Grace with the Sea,Yukio Mishima,"3.84 avg rating — 47,988 ratings"
The Known World,Edward P. Jones,"3.84 avg rating — 43,909 ratings"
"Read People Like a Book: How to Analyze, Understand, and Predict People’s Emotions, Thoughts, Intentions, and Behaviors",Patrick King,"3.42 avg rating — 4,619 ratings"
"How the King of Elfhame Learned to Hate Stories (The Folk of the Air, #3.5)",Holly Black,"4.15 avg rating — 243,193 ratings"
"The Laughing Corpse (Anita Blake, Vampire Hunter, #2)",Laurell K. Hamilton,"4.13 avg rating — 87,611 ratings"
"Keys to the Demon Prison (Fablehaven, #5)",Brandon Mull,"4.46 avg rating — 86,905 ratings"
"Farewell, My Lovely (Philip Marlowe, #2)",Raymond Chandler,"4.10 avg rating — 41,482 ratings"
The Humans,Matt Haig,"4.08 avg rating — 147,147 ratings"
We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam,Harold G. Moore,"4.33 avg rating — 32,205 ratings"
"Archenemies (Renegades, #2)",Marissa Meyer,"4.24 avg rating — 96,564 ratings"
Boy Meets Boy,David Levithan,"3.81 avg rating — 76,032 ratings"
The Six Wives of Henry VIII,Alison Weir,"4.12 avg rating — 71,688 ratings"
The Opposite of Loneliness: Essays and Stories,Marina Keegan,"3.85 avg rating — 51,128 ratings"
The Diamond Eye,Kate Quinn,"4.29 avg rating — 176,711 ratings"
"The Archived (The Archived, #1)",Victoria E. Schwab,"3.96 avg rating — 35,207 ratings"
The Complete Wreck,Lemony Snicket,"4.34 avg rating — 16,527 ratings"
"Psycho (Psycho, #1)",Robert Bloch,"4.13 avg rating — 73,178 ratings"
A Thousand Acres,Jane Smiley,"3.82 avg rating — 70,857 ratings"
The Bridge of San Luis Rey,Thornton Wilder,"3.79 avg rating — 37,294 ratings"
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,"4.18 avg rating — 352,017 ratings"
Who Has Buried the Dead?: From Stalin to Putin … The last great secret of World War Two,K.G.E. Konkel,"4.32 avg rating — 1,706 ratings"
What WE Lost: Inside The Attack on Canada’s Largest Children’s Charity,Tawfiq S. Rangwala,4.31 avg rating — 737 ratings
"The Mysterious Benedict Society and the Prisoner's Dilemma (The Mysterious Benedict Society, #3)",Trenton Lee Stewart,"4.28 avg rating — 43,850 ratings"
The Poet X,Elizabeth Acevedo,"4.37 avg rating — 137,115 ratings"
Travesuras de la niña mala,Mario Vargas Llosa,"4.13 avg rating — 46,133 ratings"
Nimona,N.D. Stevenson,"4.18 avg rating — 179,002 ratings"
Genghis Khan and the Making of the Modern World,Jack Weatherford,"4.06 avg rating — 79,667 ratings"
March,Geraldine Brooks,"3.81 avg rating — 75,056 ratings"
"The Girl of Fire and Thorns (Fire and Thorns, #1)",Rae Carson,"3.78 avg rating — 83,028 ratings"
"Powerful (The Powerless Trilogy, #1.5)",Lauren  Roberts,"4.12 avg rating — 212,755 ratings"
Hamilton: The Revolution,Lin-Manuel Miranda,"4.45 avg rating — 53,923 ratings"
The Largesse of the Sea Maiden,Denis Johnson,"3.93 avg rating — 9,176 ratings"
"Sunrise on the Reaping (The Hunger Games, #0.5)",Suzanne Collins,"4.61 avg rating — 456,958 ratings"
Beneath a Scarlet Sky,Mark T. Sullivan,"4.43 avg rating — 367,735 ratings"
"Beautiful World, Where Are You",Sally Rooney,"3.53 avg rating — 457,953 ratings"
The Tortilla Curtain,T. Coraghessan Boyle,"3.66 avg rating — 33,753 ratings"
"Hourglass (Evernight, #3)",Claudia Gray,"3.78 avg rating — 45,101 ratings"
Gone for Good,Harlan Coben,"4.11 avg rating — 69,364 ratings"
"Carpe Jugulum (Discworld, #23; Witches, #6)",Terry Pratchett,"4.19 avg rating — 66,164 ratings"
The Constant Gardener,John Le Carré,"3.83 avg rating — 29,866 ratings"
Rubáiyát of Omar Khayyám,Omar Khayyám,"4.17 avg rating — 22,523 ratings"
Playing Ball: Life Lessons from My Journey to the Super Bowl and Beyond,Vernon Davis,"4.28 avg rating — 2,426 ratings"
"The Program (The Program, #1)",Suzanne Young,"4.04 avg rating — 59,929 ratings"
"The Lost World (Professor Challenger, #1)",Arthur Conan Doyle,"3.93 avg rating — 70,638 ratings"
"Hannibal Rising (Hannibal Lecter, #4)",Thomas  Harris,"3.56 avg rating — 51,550 ratings"
Dress Your Family in Corduroy and Denim,David Sedaris,"4.11 avg rating — 285,135 ratings"
"Enemies Among Us (Nick Reagan, #2)",Jeffrey S.  Stephens,"4.31 avg rating — 1,403 ratings"
High-Rise,J.G. Ballard,"3.60 avg rating — 35,902 ratings"
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,"4.42 avg rating — 1,172,799 ratings"
"Men at Arms (Discworld, #15; City Watch, #2)",Terry Pratchett,"4.41 avg rating — 108,422 ratings"
"That Was Then, This Is Now",S.E. Hinton,"3.93 avg rating — 38,881 ratings"
The Education of Little Tree,Forrest Carter,"4.14 avg rating — 17,467 ratings"
"The Black Dahlia (L.A. Quartet, #1)",James Ellroy,"3.78 avg rating — 93,502 ratings"
Fruzzle's Mystery Talent: A Bed Time Fantasy Story for Children ages 3-10,Karen (Kara) Brueggeman,4.40 avg rating — 70 ratings
The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,"4.01 avg rating — 36,222 ratings"
"The Hangman's Daughter (The Hangman's Daughter, #1)",Oliver Pötzsch,"3.75 avg rating — 78,556 ratings"
"An Absolutely Remarkable Thing (The Carls, #1)",Hank Green,"4.04 avg rating — 125,273 ratings"
Time's Arrow,Martin Amis,"3.76 avg rating — 17,418 ratings"
The Book of Occult,Simon W. Clark,"3.64 avg rating — 3,491 ratings"
"Searching for Ganesha: Collecting Images of the Sweet-Loving, Elephant-Headed Hindu Deity Everybody Admires",Paul Spencer Sochaczewski,4.36 avg rating — 629 ratings
"Tarzan of the Apes (Tarzan, #1)",Edgar Rice Burroughs,"3.90 avg rating — 46,822 ratings"
"The Blinding Knife (Lightbringer, #2)",Brent Weeks,"4.41 avg rating — 91,381 ratings"
Long Way Down,Jason Reynolds,"4.25 avg rating — 130,859 ratings"
The Lover,Marguerite Duras,"3.71 avg rating — 65,949 ratings"
The Book of Illusions,Paul Auster,"3.90 avg rating — 25,959 ratings"
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"4.40 avg rating — 3,707,493 ratings"
"Karolina Dalca, Dark Eyes (The Dark Eyes #1)",M.R. Noble,"4.26 avg rating — 11,209 ratings"
Almost Transparent Blue,Ryū Murakami,"3.29 avg rating — 12,672 ratings"
"United We Spy (Gallagher Girls, #6)",Ally Carter,"4.43 avg rating — 37,985 ratings"
"Gormenghast (Gormenghast, #2)",Mervyn Peake,"4.09 avg rating — 14,562 ratings"
"The Grim Grotto (A Series of Unfortunate Events, #11)",Lemony Snicket,"4.03 avg rating — 121,143 ratings"
"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",Robin Wall Kimmerer,"4.52 avg rating — 151,787 ratings"
"Emily of New Moon (Emily, #1)",L.M. Montgomery,"4.12 avg rating — 52,894 ratings"
"The Circle (The Circle, #1)",Dave Eggers,"3.43 avg rating — 225,818 ratings"
Paula,Isabel Allende,"4.21 avg rating — 53,115 ratings"
The Body,Robin Waterfield,"4.30 avg rating — 44,662 ratings"
"A Grimm Warning (The Land of Stories, #3)",Chris Colfer,"4.45 avg rating — 61,015 ratings"
In Farleigh Field,Rhys Bowen,"4.01 avg rating — 70,472 ratings"
"The Moses Expedition (Father Anthony Fowler, #2)",Juan Gómez-Jurado,"3.72 avg rating — 4,456 ratings"
Tampa,Alissa Nutting,"3.34 avg rating — 52,016 ratings"
Song Bird: Matters of the Heart,Christine M. Knight,4.39 avg rating — 46 ratings
"House of Spies (Gabriel Allon, #17)",Daniel Silva,"4.31 avg rating — 33,476 ratings"
"Narcissus in Chains (Anita Blake, Vampire Hunter, #10)",Laurell K. Hamilton,"3.93 avg rating — 60,919 ratings"
The Children Act,Ian McEwan,"3.73 avg rating — 81,976 ratings"
"Playing for Keeps (Neighbor from Hell, #1)",R.L. Mathewson,"4.02 avg rating — 115,200 ratings"
The Killer Inside Me,Jim Thompson,"3.86 avg rating — 24,306 ratings"
The Mother Tongue: English and How It Got That Way,Bill Bryson,"3.91 avg rating — 43,216 ratings"
All I Really Need to Know I Learned in Kindergarten,Robert Fulghum,"really liked it 4.00 avg rating — 24,240 ratings"
Entwined,Heather Dixon Wallwork,"3.87 avg rating — 37,594 ratings"
"Dragon Slippers (Dragon Slippers, #1)",Jessica Day George,"4.26 avg rating — 29,522 ratings"
"Before They Are Hanged (The First Law, #2)",Joe Abercrombie,"4.36 avg rating — 197,838 ratings"
The Meat Market (Jonathan Harkon Adventures #1),James Chalk,3.70 avg rating — 478 ratings
"The Concrete Blonde (Harry Bosch, #3; Harry Bosch Universe, #3)",Michael    Connelly,"4.23 avg rating — 76,036 ratings"
The Leopard,Giuseppe Tomasi di Lampedusa,"4.01 avg rating — 42,609 ratings"
"The Mindf*ck Series (Mindf*ck, #1-5)",S.T. Abby,"4.62 avg rating — 84,515 ratings"
The Truth: Stage Adaptation,Stephen Briggs,"4.25 avg rating — 49,406 ratings"
"Bloodrose (Nightshade, #3; Nightshade World, #6)",Andrea Cremer,"4.05 avg rating — 28,920 ratings"
Novel with Cocaine,M. Ageyev,"3.84 avg rating — 3,473 ratings"
"Daemon (Daemon, #1)",Daniel Suarez,"4.16 avg rating — 47,491 ratings"
The Candidate and other stories,Samuel R. George,4.43 avg rating — 189 ratings
Half the Sky: Turning Oppression into Opportunity for Women Worldwide,Nicholas D. Kristof,"4.28 avg rating — 55,288 ratings"
My Cousin Rachel,Daphne du Maurier,"really liked it 4.00 avg rating — 65,098 ratings"
"Here Be Dragons (Welsh Princes, #1)",Sharon Kay Penman,"4.29 avg rating — 24,610 ratings"
"True Teryn (The Last Lumenian, #2)",S.G. Blaise,4.31 avg rating — 950 ratings
"Broken Promises (Past Imperfect Mystery, #1)",Anne  Willow,"4.25 avg rating — 2,729 ratings"
Confessions of an Ugly Stepsister,Gregory Maguire,"3.54 avg rating — 61,647 ratings"
The Bloody Chamber and Other Stories,Angela Carter,"3.91 avg rating — 62,283 ratings"
"The Luxe (Luxe, #1)",Anna Godbersen,"3.65 avg rating — 73,797 ratings"
"Midnight Awakening (Midnight Breed, #3)",Lara Adrian,"4.23 avg rating — 42,887 ratings"
"The Amazing Maurice and His Educated Rodents (Discworld, #28)",Terry Pratchett,"4.07 avg rating — 50,793 ratings"
"Worm (Parahumans, #1)",Wildbow,"4.61 avg rating — 9,959 ratings"
The Kindly Ones,Jonathan Littell,"4.02 avg rating — 14,484 ratings"
The Lost Girls,John Glatt,"4.08 avg rating — 7,103 ratings"
"Finding Cinderella (Hopeless, #2.5)",Colleen Hoover,"3.94 avg rating — 197,266 ratings"
True Grit,Charles Portis,"4.17 avg rating — 66,845 ratings"
Lord of Light,Roger Zelazny,"4.05 avg rating — 34,625 ratings"
The Distant Hours,Kate Morton,"3.89 avg rating — 82,874 ratings"
"What Happened To You?: Conversations on Trauma, Resilience, and Healing",Bruce D. Perry,"4.43 avg rating — 99,431 ratings"
"Austenland (Austenland, #1)",Shannon Hale,"3.56 avg rating — 90,087 ratings"
Kitchen,Banana Yoshimoto,"3.90 avg rating — 117,813 ratings"
Going Too Far,Jennifer Echols,"3.92 avg rating — 38,345 ratings"
The Gods Themselves,Isaac Asimov,"4.09 avg rating — 66,733 ratings"
"Midnight (The Vampire Diaries: The Return, #3)",L.J. Smith,"3.75 avg rating — 28,274 ratings"
Wayward Spirits (Witches of Palmetto Point #2),Wendy Wang,"4.42 avg rating — 7,329 ratings"
"The Retribution of Mara Dyer (Mara Dyer, #3)",Michelle Hodkin,"4.06 avg rating — 63,701 ratings"
Storm Surge: Book Two of the Stormsong Trilogy,Stephen A. Reger,4.38 avg rating — 200 ratings
"Maskerade (Discworld, #18; Witches, #5)",Terry Pratchett,"4.13 avg rating — 66,942 ratings"
Thinner,Richard  Bachman,"3.78 avg rating — 220,670 ratings"
"The Fairy-Tale Detectives (The Sisters Grimm, #1)",Michael Buckley,"4.05 avg rating — 56,121 ratings"
"The Distance Between Us (Old Town Shops, #1)",Kasie West,"3.91 avg rating — 79,708 ratings"
"Stellarlune (Keeper of the Lost Cities, #9)",Shannon Messenger,"4.43 avg rating — 27,438 ratings"
Where There's Smoke (Sugar Mountain #2),Kirsten Fullmer,"4.29 avg rating — 3,627 ratings"
The Ancestor,Lee Matthew Goldberg,"4.25 avg rating — 3,450 ratings"
Hold Me Tight: Seven Conversations for a Lifetime of Love,Sue Johnson,"4.12 avg rating — 20,853 ratings"
Purple Hibiscus,Chimamanda Ngozi Adichie,"4.18 avg rating — 134,106 ratings"
"Trouble on Main Street (Sugar Mountain, #1)",Kirsten Fullmer,"4.26 avg rating — 4,082 ratings"
"Finding Me: A Decade of Darkness, a Life Reclaimed - A Memoir of the Cleveland Kidnappings",Michelle Knight,"4.18 avg rating — 29,822 ratings"
Devil's Snare (Witches of Palmetto Point #3),Wendy Wang,"4.40 avg rating — 5,995 ratings"
Abarat,Clive Barker,"4.10 avg rating — 29,361 ratings"
Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,Blaine Harden,"4.01 avg rating — 70,331 ratings"
"Same Kind of Different as Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",Ron Hall,"4.20 avg rating — 91,669 ratings"
Life After Darkness: Finding Healing and Happiness After the Cleveland Kidnappings,Michelle Knight,"4.02 avg rating — 1,709 ratings"
"The Mote in God's Eye (Moties, #1)",Larry Niven,"4.07 avg rating — 71,872 ratings"
"Froi of the Exiles (Lumatere Chronicles, #2)",Melina Marchetta,"4.29 avg rating — 17,125 ratings"
Of Monsters and Planes,Johnathon Nicolaou,4.39 avg rating — 255 ratings
Love on the Brain,Ali Hazelwood,"3.91 avg rating — 559,966 ratings"
Death in Venice and Other Tales,Thomas Mann,"3.91 avg rating — 20,788 ratings"
The Invention of Wings,Sue Monk Kidd,"4.26 avg rating — 325,754 ratings"
Burial Rites,Hannah Kent,"4.03 avg rating — 119,655 ratings"
Stories of Your Life and Others,Ted Chiang,"4.26 avg rating — 117,510 ratings"
"A Column of Fire (Kingsbridge, #3)",Ken Follett,"4.26 avg rating — 118,960 ratings"
House of Marionne (House of Marionne #1),J. Elle,"3.64 avg rating — 6,833 ratings"
"Fairest (The Lunar Chronicles, #3.5)",Marissa Meyer,"3.95 avg rating — 149,343 ratings"
Moneyball,Michael   Lewis,"4.27 avg rating — 139,613 ratings"
ذاكرة الجسد,Ahlam Mosteghanemi,"3.81 avg rating — 25,470 ratings"
"Kiss of Crimson (Midnight Breed, #2)",Lara Adrian,"4.14 avg rating — 42,713 ratings"
"Theft of Swords (The Riyria Revelations, #1-2)",Michael J. Sullivan,"4.23 avg rating — 74,076 ratings"
"Demon from the Dark (Immortals After Dark, #9)",Kresley Cole,"4.43 avg rating — 48,708 ratings"
Persona normal,Benito Taibo,"4.38 avg rating — 30,424 ratings"
"Crashing Down to Earth (Crashing Down to Earth, #1)",Terry  Reid,4.47 avg rating — 142 ratings
The House at Pooh Corner and Now We Are Six,A.A. Milne,4.28 avg rating — 682 ratings
The Elementary Particles,Michel Houellebecq,"3.80 avg rating — 47,981 ratings"
"Little, Big",John Crowley,"3.81 avg rating — 11,969 ratings"
"Shadow Me (Shatter Me, #4.5)",Tahereh Mafi,"3.97 avg rating — 137,987 ratings"
"Chain of Iron (The Last Hours, #2)",Cassandra Clare,"4.42 avg rating — 84,954 ratings"
A Decade of Desire: Erotic Memoirs from The Office Diaries,Charles Dyson,4.36 avg rating — 730 ratings
The Other Side of Midnight (Midnight #1),Sidney Sheldon,"3.96 avg rating — 49,481 ratings"
Kiss an Angel,Susan Elizabeth Phillips,"4.17 avg rating — 68,145 ratings"
"The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3)",Michael Scott,"4.12 avg rating — 86,262 ratings"
Drama,Raina Telgemeier,"4.18 avg rating — 155,712 ratings"
Fierce Invalids Home from Hot Climates,Tom Robbins,"4.04 avg rating — 28,909 ratings"
The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,"4.28 avg rating — 51,055 ratings"
"A Swiftly Tilting Planet (Time Quintet, #3)",Madeleine L'Engle,"4.08 avg rating — 110,361 ratings"
Glamorama,Bret Easton Ellis,"3.55 avg rating — 24,884 ratings"
"The Name of the Star (Shades of London, #1)",Maureen Johnson,"3.89 avg rating — 53,449 ratings"
"My Man Jeeves (Jeeves, #1)",P.G. Wodehouse,"4.05 avg rating — 45,309 ratings"
Junky,William S. Burroughs,"3.85 avg rating — 69,091 ratings"
Orientalism,Edward W. Said,"4.13 avg rating — 27,983 ratings"
Memórias póstumas de Brás Cubas,Machado de Assis,"4.26 avg rating — 35,465 ratings"
And the Ass Saw the Angel,Nick Cave,"3.85 avg rating — 11,094 ratings"
"The Man in the Brown Suit (Colonel Race, #1)",Agatha Christie,"3.95 avg rating — 119,639 ratings"
"Blood And Gold (The Vampire Chronicles, #8)",Anne Rice,"3.92 avg rating — 36,317 ratings"
"Emperor Mage (Immortals, #3)",Tamora Pierce,"4.29 avg rating — 65,040 ratings"
Check & Mate,Ali Hazelwood,"3.95 avg rating — 303,074 ratings"
"Everlost (The Skinjacker Trilogy, #1)",Neal Shusterman,"3.96 avg rating — 36,144 ratings"
Going Bovine,Libba Bray,"3.67 avg rating — 35,109 ratings"
"Girl, Woman, Other",Bernardine Evaristo,"4.27 avg rating — 252,585 ratings"
"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World",Tracy Kidder,"4.20 avg rating — 86,856 ratings"
"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin,"4.13 avg rating — 128,419 ratings"
Cinderella Is Dead,Kalynn  Bayron,"3.67 avg rating — 83,630 ratings"
Brown Girl Dreaming,Jacqueline Woodson,"4.15 avg rating — 91,188 ratings"
